vidid,adview,views,likes,dislikes,comment,published,duration,category
VID_18655,40,1031602.0,8523.0,363.0,1095.0,2016-09-14,PT7M37S,F
VID_14135,2,1707.0,56.0,2.0,6.0,2016-10-01,PT9M30S,D
VID_2187,1,2023.0,25.0,0.0,2.0,2016-07-02,PT2M16S,C
VID_23096,6,620860.0,777.0,161.0,153.0,2016-07-27,PT4M22S,H
VID_10175,1,666.0,1.0,0.0,0.0,2016-06-29,PT31S,D
VID_10756,4,78.0,0.0,0.0,0.0,2016-05-09,PT15S,D
VID_9782,40621,43118.0,15.0,1.0,0.0,2015-08-21,PT3M20S,D
VID_16452,1,14205.0,55.0,16.0,1.0,2016-08-01,PT58S,E
VID_18486,1,526015.0,3064.0,211.0,2582.0,2015-11-06,PT27M50S,F
VID_681,1,406992.0,3831.0,310.0,7839.0,2016-10-03,PT11M19S,B
VID_10116,19,607447.0,377.0,144.0,65.0,2016-08-08,PT12M25S,D
VID_1763,9,429137.0,2181.0,76.0,172.0,2015-12-26,PT3M48S,B
VID_1979,224,1895.0,59.0,5.0,0.0,2016-08-14,PT4M14S,B
VID_9313,1,59843.0,68.0,16.0,10.0,2016-02-07,PT2H23M28S,D
VID_18397,2,211642.0,1378.0,65.0,103.0,2015-04-03,PT2M50S,F
VID_1025,1,3700.0,29.0,6.0,3.0,2013-09-25,PT37S,B
VID_19903,2,2303.0,4.0,0.0,0.0,2010-10-02,PT26S,G
VID_10866,4794,5886.0,23.0,0.0,4.0,2016-11-04,PT5M12S,D
VID_22884,107,9477.0,66.0,0.0,0.0,2015-06-22,PT22S,G
VID_22583,53702,115426.0,83.0,10.0,2.0,2015-09-11,PT3M16S,G
VID_11702,2,62255.0,71.0,10.0,1.0,2015-06-01,PT12M41S,D
VID_8074,1,15353.0,13.0,6.0,9.0,2016-08-03,PT1M41S,D
VID_11952,1,236589.0,1730.0,38.0,140.0,2015-08-20,PT5M25S,D
VID_8520,2,94719.0,192.0,11.0,23.0,2016-08-01,PT41S,D
VID_13368,14,3089826.0,7493.0,1148.0,330.0,2016-04-22,PT13M18S,D
VID_19981,3,2046444.0,3910.0,845.0,247.0,2015-12-15,PT6M2S,G
VID_1123,3,2103487.0,13342.0,734.0,650.0,2014-08-01,PT10M59S,B
VID_5128,3,740683.0,935.0,68.0,57.0,2013-09-17,PT1M38S,D
VID_1403,1,805979.0,2036.0,183.0,215.0,2015-03-23,PT2M11S,B
VID_11724,1,229495.0,372.0,50.0,44.0,2014-05-30,PT2H22M32S,D
VID_12811,1,2758.0,2.0,0.0,1.0,2013-10-15,PT2M47S,D
VID_12465,1,24672.0,313.0,10.0,128.0,2013-09-23,PT11M5S,D
VID_13546,2,2000406.0,14974.0,686.0,1297.0,2016-02-27,PT8M57S,D
VID_17293,4,163161.0,617.0,25.0,51.0,2016-06-24,PT3M48S,E
VID_11660,6,422797.0,1226.0,122.0,117.0,2016-08-12,PT13M23S,D
VID_1930,1,157479.0,944.0,40.0,52.0,2015-04-04,PT1M9S,B
VID_9221,1,109.0,0.0,1.0,0.0,2014-05-01,PT7M53S,D
VID_22271,53,3258674.0,9193.0,290.0,823.0,2015-07-07,PT1H10M26S,G
VID_18942,2,17128.0,33.0,4.0,4.0,2011-09-24,PT1M39S,F
VID_3606,1,136151.0,155.0,13.0,14.0,2016-08-08,PT10M29S,D
VID_154,1,1034.0,5.0,0.0,0.0,2016-03-01,PT4M21S,A
VID_7305,1,513871.0,743.0,214.0,45.0,2015-06-17,PT11M16S,D
VID_15177,4,178089.0,1259.0,24.0,124.0,2016-06-10,PT13M43S,E
VID_3434,17,553420.0,818.0,167.0,59.0,2013-09-16,PT57M37S,D
VID_14698,2,623004.0,531.0,182.0,76.0,2013-03-06,PT1M15S,D
