vidid,views,likes,dislikes,comment,published,duration,category
VID_2427,5022,3,0,F,24-06-2015,PT1M49S,C
VID_2358,118254,67,58,F,09-07-2015,PT3M8S,C
VID_11354,18899,14,5,F,14-06-2016,PT10M20S,D
VID_2335,12924,12,6,F,16-08-2016,PT15M4S,C
VID_9135,520486,F,F,1,12-05-2015,PT2M14S,D
VID_18024,1868832,14447,2940,F,02-02-2016,PT5M6S,F
VID_23196,38650,284,9,F,27-04-2016,PT14M35S,H
VID_13640,193068,F,F,0,28-05-2016,PT21S,D
VID_23097,1488465,3535,504,F,15-01-2016,PT21M50S,H
VID_13646,507,F,F,F,13-04-2016,PT31S,D
VID_16502,98317,F,F,2,06-08-2015,PT31S,E
VID_13747,875933,F,F,59,09-09-2016,PT2M54S,D
VID_2424,2085472,2790,1465,F,03-02-2017,PT30M8S,C
VID_2434,32467,25,7,F,05-08-2016,PT10M48S,C
VID_2501,623897,246,129,F,10-08-2015,PT7M15S,C
VID_2363,1379353,1406,794,F,27-07-2016,PT8M19S,C
VID_23234,634038,F,F,235,18-07-2015,PT42M36S,H
VID_23262,4001373,1140,676,F,13-05-2016,PT2M35S,H
VID_23088,120653,F,F,13,20-11-2014,PT27M56S,H
VID_11387,59241,36,20,F,11-08-2016,PT15M36S,D
VID_23229,352039,F,F,18,20-02-2016,PT6M13S,H
VID_13652,112445,F,F,12,19-04-2016,PT3M6S,D
VID_9393,5351,1,4,F,02-06-2016,PT2H16M48S,D
VID_7387,7809,11,5,F,13-03-2017,PT4M14S,D
VID_2432,2675,2,0,F,27-07-2016,PT10M15S,C
VID_13656,999,F,F,0,05-05-2016,PT30S,D
VID_20939,22623,F,F,1,12-03-2017,PT1M1S,G
VID_11353,291457,196,120,F,20-07-2016,PT10M36S,D
VID_13748,261999,F,F,7,08-09-2016,PT2M32S,D
VID_11373,484051,330,213,F,06-08-2016,PT15M43S,D
VID_21380,2219731,F,F,222,03-09-2014,PT1H2M20S,G
VID_20937,142755,F,F,3,08-01-2017,PT3M50S,G
VID_2525,216060,88,48,F,07-11-2015,PT1H12S,C
VID_23200,53974,208,15,F,17-05-2016,PT4M58S,H
VID_13611,1047,F,F,F,15-06-2016,PT30S,D
VID_16533,715637,576,192,F,26-01-2016,PT2H3M40S,E
VID_23077,4045682,F,F,113,10-05-2015,PT8M42S,H
VID_2429,90812,66,34,F,26-08-2016,PT33M3S,C
VID_13722,10999,F,F,0,13-11-2016,PT5M6S,D
VID_13718,21152,F,F,2,26-10-2016,PT2M46S,D
VID_4337,143717,F,F,F,18-03-2015,PT1M50S,D
VID_2435,46516,31,17,F,12-08-2016,PT14M30S,C
VID_11356,72286,55,16,F,23-09-2016,PT17M30S,D
VID_9263,F,2,1,1,10-10-2013,PT21M41S,D
VID_2661,26407871,F,F,2723,23-04-2014,PT4M25S,C
VID_7209,430278,F,F,F,01-09-2016,PT1M28S,D
VID_13653,28500,F,F,0,18-11-2016,PT31S,D
VID_23193,117579,389,51,F,13-05-2016,PT12M1S,H
VID_2439,140214,111,62,F,01-09-2016,PT11M30S,C
VID_2508,205714,169,85,F,22-12-2015,PT10M16S,C
VID_2431,114226,88,42,F,02-08-2016,PT10M59S,C
VID_13625,34600,F,F,1,16-12-2016,PT30S,D
VID_23257,1272975,4458,575,F,26-01-2015,PT8M1S,H
VID_2351,236636,131,57,F,14-12-2015,PT7M28S,C
VID_4412,93066,F,F,F,21-11-2014,PT1H49M21S,D
VID_13735,114187,F,F,4,08-11-2016,PT4M48S,D
VID_16200,803501,975,471,F,21-05-2015,PT1H17M2S,E
VID_1366,248311,364,46,F,29-10-2013,PT5M15S,B
VID_2498,24918,9,4,F,27-06-2015,PT1H27S,C
VID_2493,26080,8,9,F,24-09-2015,PT10M,C
VID_8302,68220,F,F,F,12-10-2014,PT4M1S,D
VID_20406,204873,F,F,39,29-09-2012,PT4M36S,G
VID_12556,327354,147,77,F,05-05-2016,PT2H2M39S,D
VID_20926,405536,F,F,15,29-03-2017,PT41M19S,G
VID_13637,4062,F,F,0,16-12-2016,PT48S,D
VID_10613,104438,F,F,38,19-06-2016,PT3M20S,D
VID_5776,3456834,22837,1575,F,27-05-2015,PT6M50S,D
VID_23258,217707,1333,160,F,28-02-2015,PT35M19S,H
VID_1392,13662,66,1,F,25-08-2013,PT8M8S,B
VID_23259,1432909,1047,343,F,09-06-2015,PT2M8S,H
VID_8331,41448,F,F,F,12-10-2014,PT4M24S,D
VID_16544,1127262,935,256,F,30-07-2016,PT2H18M4S,E
VID_13732,8109,F,F,0,13-11-2016,PT3M11S,D
VID_11366,943877,659,404,F,20-07-2016,PT10M32S,D
VID_18812,1155014,F,F,223,22-04-2014,PT6M18S,F
VID_1377,29071,155,8,F,21-02-2014,PT5M37S,B
VID_7233,2437753,F,F,F,20-12-2016,PT1M59S,D
VID_4768,1141002,F,F,236,15-05-2015,PT2M31S,D
VID_2518,885838,347,187,F,17-07-2015,PT1M49S,C
VID_13596,29305,F,F,F,29-03-2016,PT31S,D
